# Z	N	A	e	B/A_MeV	name
92	144	236	92	7.6906	Ennbi-ium-236
116	185	301	117	7.1967	Ununhex-ium-301
57	72	129	52	8.4749	Pentsept-ium-129
105	150	255	99	7.4535	Unnilpent-ium-255
121	192	313	124	7.1010	Unbiun-ium-313
95	135	230	95	7.6692	Ennpent-ium-230
116	171	287	120	7.2210	Ununhex-ium-287
96	136	232	97	7.6532	Ennhex-ium-232
106	168	274	106	7.4018	Unnilhex-ium-274
106	150	256	100	7.4310	Unnilhex-ium-256
88	120	208	88	7.8216	Octoct-ium-208
93	145	238	92	7.6688	Enntri-ium-238
82	95	177	82	7.7584	Octbi-ium-177
93	146	239	92	7.6647	Enntri-ium-239
126	210	336	126	6.9706	Unbihex-ium-336
127	210	337	127	6.9531	Unbisept-ium-337
127	211	338	127	6.9468	Unbisept-ium-338
128	209	337	124	6.9445	Unbioct-ium-337
117	171	288	121	7.1954	Ununsept-ium-288
82	96	178	82	7.7858	Octbi-ium-178
113	157	270	113	7.2577	Ununtri-ium-270
82	100	182	85	7.8613	Octbi-ium-182
107	169	276	107	7.3801	Unnilsept-ium-276
89	120	209	89	7.7895	Octenn-ium-209
127	212	339	126	6.9439	Unbisept-ium-339
58	73	131	52	8.4515	Pentoct-ium-131
96	139	235	96	7.6507	Ennhex-ium-235
59	74	133	53	8.4276	Pentenn-ium-133
114	158	272	114	7.2380	Ununquad-ium-272
113	158	271	113	7.2648	Ununtri-ium-271
107	170	277	107	7.3774	Unnilsept-ium-277
60	74	134	54	8.3995	Hexnil-ium-134
108	170	278	108	7.3678	Unniloct-ium-278
82	97	179	82	7.8023	Octbi-ium-179
105	166	271	105	7.4213	Unnilpent-ium-271
124	190	314	122	7.0550	Unbiquad-ium-314
117	185	302	116	7.1807	Ununsept-ium-302
117	172	289	120	7.1990	Ununsept-ium-289
90	120	210	90	7.7628	Ennnil-ium-210
104	157	261	104	7.4712	Unnilquad-ium-261
82	98	180	82	7.8265	Octbi-ium-180
105	168	273	105	7.4099	Unnilpent-ium-273
60	75	135	54	8.4032	Hexnil-ium-135
60	76	136	54	8.4189	Hexnil-ium-136
118	173	291	121	7.1769	Ununoct-ium-291
91	120	211	91	7.7267	Ennun-ium-211
108	171	279	107	7.3607	Unniloct-ium-279
127	213	340	126	6.9371	Unbisept-ium-340
128	210	338	124	6.9426	Unbioct-ium-338
128	214	342	127	6.9252	Unbioct-ium-342
82	101	183	84	7.8721	Octbi-ium-183
118	174	292	121	7.1804	Ununoct-ium-292
105	152	257	99	7.4560	Unnilpent-ium-257
123	190	313	121	7.0720	Unbitri-ium-313
106	169	275	107	7.3939	Unnilhex-ium-275
97	139	236	97	7.6262	Ennsept-ium-236
118	175	293	121	7.1790	Ununoct-ium-293
129	215	344	126	6.9059	Unbienn-ium-344
130	215	345	127	6.8957	Untrinil-ium-345
109	172	281	108	7.3436	Unnilenn-ium-281
119	175	294	123	7.1540	Ununenn-ium-294
82	102	184	83	7.8906	Octbi-ium-184
106	170	276	107	7.3905	Unnilhex-ium-276
106	153	259	100	7.4338	Unnilhex-ium-259
109	173	282	108	7.3365	Unnilenn-ium-282
107	171	278	108	7.3696	Unnilsept-ium-278
105	153	258	99	7.4538	Unnilpent-ium-258
81	102	183	82	7.9182	Octun-ium-183
128	211	339	124	6.9368	Unbioct-ium-339
105	157	262	104	7.4509	Unnilpent-ium-262
118	185	303	117	7.1677	Ununoct-ium-303
110	173	283	109	7.3261	Ununnil-ium-283
106	158	264	105	7.4358	Unnilhex-ium-264
106	154	260	101	7.4373	Unnilhex-ium-260
119	176	295	123	7.1573	Ununenn-ium-295
61	77	138	55	8.3810	Hexun-ium-138
92	120	212	93	7.6961	Ennbi-ium-212
118	176	294	122	7.1817	Ununoct-ium-294
106	155	261	101	7.4350	Unnilhex-ium-261
118	177	295	122	7.1796	Ununoct-ium-295
82	103	185	83	7.8989	Octbi-ium-185
93	121	214	94	7.6623	Enntri-ium-214
111	174	285	111	7.3084	Ununun-ium-285
123	191	314	121	7.0685	Unbitri-ium-314
107	158	265	105	7.4133	Unnilsept-ium-265
97	137	234	97	7.6243	Ennsept-ium-234
97	140	237	96	7.6293	Ennsept-ium-237
108	172	280	109	7.3580	Unniloct-ium-280
123	192	315	121	7.0688	Unbitri-ium-315
107	159	266	105	7.4100	Unnilsept-ium-266
93	122	215	96	7.6745	Enntri-ium-215
130	216	346	127	6.8934	Untrinil-ium-346
129	216	345	126	6.9031	Unbienn-ium-345
128	212	340	124	6.9343	Unbioct-ium-340
93	123	216	96	7.6787	Enntri-ium-216
119	178	297	123	7.1585	Ununenn-ium-297
119	185	304	119	7.1493	Ununenn-ium-304
94	124	218	97	7.6597	Ennquad-ium-218
123	193	316	121	7.0647	Unbitri-ium-316
106	156	262	99	7.4375	Unnilhex-ium-262
120	185	305	120	7.1339	Unbinil-ium-305
129	213	342	125	6.9145	Unbienn-ium-342
128	213	341	124	6.9281	Unbioct-ium-341
95	125	220	98	7.6266	Ennpent-ium-220
120	186	306	119	7.1343	Unbinil-ium-306
98	141	239	96	7.6077	Ennoct-ium-239
99	141	240	97	7.5819	Ennenn-ium-240
94	125	219	97	7.6635	Ennquad-ium-219
111	175	286	109	7.3021	Ununun-ium-286
100	142	242	98	7.5652	Unnilnil-ium-242
121	193	314	124	7.0958	Unbiun-ium-314
112	175	287	110	7.2904	Ununbi-ium-287
81	114	195	81	7.9773	Octun-ium-195
122	193	315	125	7.0828	Unbibi-ium-315
111	173	284	111	7.3097	Ununun-ium-284
94	126	220	96	7.6802	Ennquad-ium-220
121	187	308	121	7.1106	Unbiun-ium-308
95	126	221	97	7.6445	Ennpent-ium-221
99	142	241	96	7.5857	Ennenn-ium-241
95	127	222	97	7.6411	Ennpent-ium-222
96	128	224	98	7.6222	Ennhex-ium-224
121	188	309	121	7.1110	Unbiun-ium-309
121	189	310	121	7.1069	Unbiun-ium-310
112	176	288	110	7.2890	Ununbi-ium-288
96	129	225	97	7.6253	Ennhex-ium-225
122	190	312	123	7.0919	Unbibi-ium-312
108	159	267	107	7.3921	Unniloct-ium-267
62	80	142	57	8.3842	Hexbi-ium-142
112	174	286	113	7.2960	Ununbi-ium-286
113	174	287	114	7.2776	Ununtri-ium-287
113	175	288	114	7.2727	Ununtri-ium-288
98	138	236	100	7.6076	Ennoct-ium-236
109	159	268	110	7.3676	Unnilenn-ium-268
63	81	144	58	8.3478	Hextri-ium-144
113	176	289	114	7.2720	Ununtri-ium-289
106	157	263	97	7.4343	Unnilhex-ium-263
64	82	146	59	8.3470	Hexquad-ium-146
119	179	298	122	7.1563	Ununenn-ium-298
121	190	311	122	7.1066	Unbiun-ium-311
120	180	300	123	7.1396	Unbinil-ium-300
