exre: stochastic chemical discovery
seeds: 27   iters: 800000   T: 350.0   rng: 4242
[novel] CH2N2P            E=964.2  atoms=6 bonds=6  parent=hydrazine
[novel] ONa               E=-445.0  atoms=2 bonds=1  parent=HCl
[novel] NaSCaBr           E=-962.2  atoms=4 bonds=3  parent=HCl
[novel] C2HCaBr           E=-885.2  atoms=5 bonds=4  parent=HCl
[novel] HPK               E=2348.0  atoms=3 bonds=1  parent=phosphine
[novel] NaCaBr            E=-183.6  atoms=3 bonds=2  parent=H2
[novel] CNO               E=1227.0  atoms=3 bonds=2  parent=formic_acid
[novel] CHN3O2            E=2419.0  atoms=7 bonds=6  parent=methylamine
[novel] ClBr              E=40.8  atoms=2 bonds=1  parent=H2
[novel] ONaClKCa          E=-633.7  atoms=5 bonds=4  parent=NO
[novel] CHN2P             E=-145.2  atoms=5 bonds=5  parent=hydrazine
[novel] HK                E=507.5  atoms=2 bonds=1  parent=HCl
[novel] C2NO2F            E=1743.8  atoms=6 bonds=5  parent=methylamine
[novel] CHNO2FNaClCa      E=2421.8  atoms=9 bonds=7  parent=methylamine
[novel] HSi               E=3531.2  atoms=2 bonds=1  parent=silane
[novel] CNO2NaMgClCa      E=1187.3  atoms=8 bonds=6  parent=methylamine
[novel] C2H2O             E=3999.0  atoms=5 bonds=4  parent=ethane
[novel] CHNOFK            E=834.9  atoms=6 bonds=5  parent=methylamine
[novel] C2NOCa            E=538.2  atoms=5 bonds=4  parent=methylamine
[novel] CNKCa             E=-514.9  atoms=4 bonds=3  parent=methylamine
[novel] HCa2              E=4314.8  atoms=3 bonds=1  parent=phosphine
[novel] MgClCa            E=-331.1  atoms=3 bonds=2  parent=H2
[novel] HNO2              E=270.0  atoms=4 bonds=3  parent=hydrogen_peroxide
[novel] Ca2               E=-300.0  atoms=2 bonds=1  parent=H2
[novel] NO2K              E=-288.1  atoms=4 bonds=3  parent=H2
[novel] CH3NFS            E=2956.6  atoms=7 bonds=6  parent=methylamine
[novel] C2H2N2O           E=6164.4  atoms=7 bonds=5  parent=hydrazine
[novel] CH2NONaClCa       E=4188.1  atoms=8 bonds=6  parent=methylamine
[novel] HN2Cl             E=2617.5  atoms=4 bonds=3  parent=hydrazine
[novel] CH2FCa            E=1340.9  atoms=5 bonds=4  parent=chloromethane
[novel] C5H5SBr           E=8262.3  atoms=12 bonds=12  parent=benzene_kekule
[novel] MgBr              E=-38.4  atoms=2 bonds=1  parent=H2
[novel] CH2F2Ca           E=212.8  atoms=6 bonds=5  parent=chloromethane
[novel] CNaMgCl           E=-873.1  atoms=4 bonds=3  parent=H2
[novel] C2H3              E=3376.4  atoms=5 bonds=4  parent=ethene
[novel] CHNO3FClCa        E=2798.1  atoms=9 bonds=7  parent=methylamine
[novel] CH2N2OBr          E=3633.3  atoms=7 bonds=6  parent=methylamine
[novel] CH2NOP            E=5026.0  atoms=6 bonds=5  parent=methylamine
[novel] N2O2Ca            E=-228.2  atoms=5 bonds=4  parent=methylamine
[novel] CSCl              E=773.4  atoms=3 bonds=3  parent=CO
[novel] C2HN2             E=-393.0  atoms=5 bonds=5  parent=hydrazine
[novel] HNaK              E=-162.5  atoms=3 bonds=2  parent=HCl
[novel] HNKCa             E=-1084.0  atoms=4 bonds=3  parent=methylamine
[novel] COMg              E=1095.5  atoms=3 bonds=2  parent=HCl
[novel] ONaCa             E=-1125.2  atoms=3 bonds=2  parent=HCl
[novel] FNa3              E=1980.0  atoms=4 bonds=1  parent=hydrazine
